text,indicator
📌 COVID-19 update: An ACU student on our Strathfield Campus has tested positive for COVID-19. The student has self-isolated and has very mild symptoms. (Part 1/4),0
Questions about coronavirus? We are following guidelines from the Australian government and the health authorities in each state and territory. Please follow updates on the ACU website for further advice and information. https://t.co/ObwlUmxlbO,2
"“Speed is very important” in a pandemic. #ANUExpert @GaetanBurgio tells @readfearn “Rapid detection reduces the number of patients that are unnecessarily followed up"" &amp; is ""crucial” with #Covid19 testing. @JCSMR @ANUMedSchool
https://t.co/kLkg8Cft13",2
"@jypersian Yes, when coursework teaching resumes in wk 5, classes will be online. Students are strongly encouraged to limit domestic travel to help stop the spread of COVID-19. They have the resources needed here at ANU, where we are working constantly to maintain a safe campus environment.",2
"❗️COVID-19 update 
In this update @VC_ANU outlines how we are responding to #Covid_19 protecting our community &amp; helping to #FlattenTheCurve &amp; #StopTheSpread 

https://t.co/ZccoEbYiKm",2
❗️COVID-19 update: Wondering how the University is moving to remote learning to reduce disruption of study &amp; possible transmission of the #COVID19 virus? Deputy Vice-Chancellor (Academic) Prof Grady Venville outlines our approach. Learn more: https://t.co/BhsYUgpOo6 https://t.co/VcqVyinypK,0
"Coronavirus will devastate Aboriginal communities if we don't act now. “We must do all we can to protect our most vulnerable in our communities” says Dr Jason Agostino from @ANUPopHealth. #COVID19au #coronavirus 
https://t.co/Tl15209Mww",0
"G20 must co-ordinate a global response to #coronavirus. #ANUExpert Prof Peter Drysdale &amp; @ICCSecGen say national leaders must lower costs of essential medical supplies by lifting import taxes, quotas &amp; other government-imposed costs @EABER_ANU @ANUCrawford https://t.co/wJbZjV9bp0",0
"Here at ANU we are taking every precaution against #COVID_19. There's no immediate threat to our campus or community.

""They are very optimistic we can control COVID 19 and not have a runaway outbreak - but we do need to take precautions and take them now."" https://t.co/DybDgkFQij",2
Here is the University’s statement on the precautionary measures for COVID-19: https://t.co/xYD3kOn41Y,0
"Looking after our mental health &amp; the wellbeing of friends &amp; family as we face the challenges of #COVID19 is something we can all do. The University's highest priority is the safety of our community, including providing mental health support. Learn more https://t.co/KmDNkYYGXY https://t.co/93TGaNfD98",2
