"","screen_name","text","created_at"
"1","ACUmedia","We realise that this a difficult time for all and we will continue to work to ensure our campuses provide a safe and supportive environment for our students and our staff. You can find more information at our FAQs - https://t.co/8NkNNeNW4F (Part 4/4)",2020-03-19 00:32:29
"2","ACUmedia","The university has conducted an intensive two-step clean of all areas the student attended. ACU had already ensured the frequency and nature of cleaning on all campuses was enhanced to minimise risks to students and staff. (Part 3/4)",2020-03-19 00:32:15
"3","ACUmedia","The Faculty of Health Sciences student attended a two-hour lecture in the Main Lecture Theatre (612.G.01) on 16 March, and a one-hour tutorial in the Edward Clancy Building 640.1.48 on 17 March and had minimal contact with students and staff due to social distancing (Part 2/4)",2020-03-19 00:31:59
"4","ACUmedia","📌 COVID-19 update: An ACU student on our Strathfield Campus has tested positive for COVID-19. The student has self-isolated and has very mild symptoms. (Part 1/4)",2020-03-19 00:31:48
"5","ACUmedia","A study of young homeless refugees by youth work academic and ACU senior lecturer Dr Jen Couch has found many go through a period of homelessness because of the lack of appropriate resettlement services https://t.co/1go5tsipjf #acuimpact",2020-03-11 07:04:05
"6","ACUmedia","As a competitive body builder, Sarah Foyster is no stranger to hard work. But that didn’t stop this 30-something mum of three from feeling nervous at the thought of returning to study. We spoke to Sarah about pursuing your goals. https://t.co/IFfD2FRgIt #acuimpact",2020-03-10 07:23:00
"7","ACUmedia","Compulsive internet use is leading many teenagers down a path to hopelessness – with a whopping 45 per cent saying they’re online ‘almost constantly’. But is internet use all bad news for our teens? We spoke to an expert. https://t.co/XqXkbeb2UB #acuimpact",2020-03-04 07:14:09
"8","ACUmedia","John grew up in a travelling circus with no formal schooling, and life was varied. John’s life wasn’t headed in a positive direction, but that all changed when he found a unique education program designed to empower disadvantaged Australians. https://t.co/uiywpq0LY7 #acuimpact",2020-03-03 07:05:00
"9","ACUmedia","Starting a degree can be daunting, especially if you are moving to a new city. For Bachelor of Arts student Emily Fawn, moving from her hometown of Bathurst in rural New South Wales (NSW) to study in Sydney was an intimidating prospect. https://t.co/frTxFNSf8l #acuimpact",2020-02-26 04:20:00
"10","ACUmedia","There’s so much more to life at uni than books and classes. Research reveals that students who have interests outside their studies actually do better than those that don’t. But what is involved in the ‘other side’ of uni life? Read more here - https://t.co/COdQvWyIN1 #acuimpact",2020-02-25 07:21:00
"11","ACUmedia","@NTEUNational Hello @NTEUNational the full MOU is available on the ACU website: https://t.co/Zf3IvNH3dr",2020-02-24 08:16:29
"12","ACUmedia","Ramsay Centre-funded Western Civilisation degree planned for ACU https://t.co/Zf3IvNH3dr",2020-02-24 08:01:58
"13","ACUmedia","New faces. New places. New experiences. Your first weeks at university will be full of new things. And with all the excitement, you probably also have a few questions. We’ve rounded up the top four FAQ's by new students, read more here - https://t.co/UOZ7L5w0U3 #acuimpact",2020-02-21 04:32:00
"14","ACUmedia","Students are welcome to attend a national information session on 26 March 2020 which promotes the DVCEI's selection of prestigious external scholarships including John Monash, Fulbright, Westpac Future Leaders, Rhodes and Schwarzman. Find out more here - https://t.co/1VmgcOh6zg",2020-02-20 00:15:01
"15","ACUmedia","Surviving at uni while working minimal hours to maximise time for study is might have you worried ahead of the semester. Don’t worry, it can be done! With a little planning and some self-restraint, you will be thriving. Read more here https://t.co/3vjc6l8Ffs #acuimpact",2020-02-19 06:28:00
